execution_id,campaign_id,hardware_epoch,result_id,placement,replica,case_id,variant_id,workload_id,workload_family,implementation_id,simulator_name,simulator_version,simulator_display_version,adapter,mode,batch_enabled,batch_size_effective,shots_per_call,cpu_model,instance_type,image_id,boot_id,status,error_phase,error_type,error_message,setup_seconds,sample_count,median_attempted_shots_per_second,mad_attempted_shots_per_second,min_attempted_shots_per_second,max_attempted_shots_per_second,total_attempted_shots,total_duration_seconds
release-v1-20260909-130000,release-v1,aws-m7a-xlarge-ubuntu2404-v1,e4b54eca-4cd6-44ad-bab3-ea31e296f6a3,1,1,msc-d3-inject-cultivate-p1e-3--clifft-previous,clifft-previous,msc-d3-inject-cultivate-p1e-3,magic-state-cultivation,clifft-0.9.0,Clifft,0.9.0,0.9.0,clifft,throughput,false,1,100000,AMD EPYC 9R14,m7a.xlarge,ami-0f8a61b66d1accaee,47256bd2-ef34-4218-9e6c-eda2fd92f35a,success,,,,3.3677638769999874,5,1197154.0045081247,112.44448295701295,1196964.361367055,1198146.3122553693,180000000,150.3386160579997
release-v1-20260909-130000,release-v1,aws-m7a-xlarge-ubuntu2404-v1,e4b54eca-4cd6-44ad-bab3-ea31e296f6a3,1,1,msc-d5-inject-cultivate-p1e-3--clifft-previous,clifft-previous,msc-d5-inject-cultivate-p1e-3,magic-state-cultivation,clifft-0.9.0,Clifft,0.9.0,0.9.0,clifft,throughput,false,1,20000,AMD EPYC 9R14,m7a.xlarge,ami-0f8a61b66d1accaee,47256bd2-ef34-4218-9e6c-eda2fd92f35a,success,,,,3.515059275999988,5,187681.5984934702,26.25154461050988,187546.86980206927,187754.4142096296,28200000,150.2613522959998
release-v1-20260909-130000,release-v1,aws-m7a-xlarge-ubuntu2404-v1,e4b54eca-4cd6-44ad-bab3-ea31e296f6a3,1,1,distillation-color-code-85q-p5e-2--clifft-previous,clifft-previous,distillation-color-code-85q-p5e-2,magic-state-distillation,clifft-0.9.0,Clifft,0.9.0,0.9.0,clifft,throughput,false,1,100000,AMD EPYC 9R14,m7a.xlarge,ami-0f8a61b66d1accaee,47256bd2-ef34-4218-9e6c-eda2fd92f35a,success,,,,3.355402134999963,5,575333.9433862547,196.0169279440306,575137.9264583107,576455.1048954003,86500000,150.2577693610006
release-v1-20260909-130000,release-v1,aws-m7a-xlarge-ubuntu2404-v1,e4b54eca-4cd6-44ad-bab3-ea31e296f6a3,1,1,surface-code-d7-r7-p1e-3--clifft-previous,clifft-previous,surface-code-d7-r7-p1e-3,surface-code-memory,clifft-0.9.0,Clifft,0.9.0,0.9.0,clifft,throughput,false,1,100000,AMD EPYC 9R14,m7a.xlarge,ami-0f8a61b66d1accaee,47256bd2-ef34-4218-9e6c-eda2fd92f35a,success,,,,3.410186531000022,5,483877.05258675024,34.59468436532188,483808.8447995587,484083.78605510487,73000000,150.85713624799928
release-v1-20260909-130000,release-v1,aws-m7a-xlarge-ubuntu2404-v1,e4b54eca-4cd6-44ad-bab3-ea31e296f6a3,1,1,coherent-surface-d3-r1-p1e-3-rz2e-2--clifft-previous,clifft-previous,coherent-surface-d3-r1-p1e-3-rz2e-2,coherent-noise-surface-code,clifft-0.9.0,Clifft,0.9.0,0.9.0,clifft,throughput,false,1,100000,AMD EPYC 9R14,m7a.xlarge,ami-0f8a61b66d1accaee,47256bd2-ef34-4218-9e6c-eda2fd92f35a,success,,,,3.107264473999976,5,1886967.7560969316,357.7365259884391,1884715.5364561551,1887325.49262292,283300000,150.18688972199845
release-v1-20260909-130000,release-v1,aws-m7a-xlarge-ubuntu2404-v1,e4b54eca-4cd6-44ad-bab3-ea31e296f6a3,1,1,coherent-surface-d3-r3-p1e-3-rz2e-2--clifft-previous,clifft-previous,coherent-surface-d3-r3-p1e-3-rz2e-2,coherent-noise-surface-code,clifft-0.9.0,Clifft,0.9.0,0.9.0,clifft,throughput,false,1,100000,AMD EPYC 9R14,m7a.xlarge,ami-0f8a61b66d1accaee,47256bd2-ef34-4218-9e6c-eda2fd92f35a,success,,,,3.4980850709999913,5,461358.05640405224,117.29989384312648,452351.1508939487,461475.35629789537,68900000,150.4682742070023
release-v1-20260909-130000,release-v1,aws-m7a-xlarge-ubuntu2404-v1,e4b54eca-4cd6-44ad-bab3-ea31e296f6a3,1,1,coherent-surface-d5-r1-p1e-3-rz2e-2--clifft-previous,clifft-previous,coherent-surface-d5-r1-p1e-3-rz2e-2,coherent-noise-surface-code,clifft-0.9.0,Clifft,0.9.0,0.9.0,clifft,throughput,false,1,10000,AMD EPYC 9R14,m7a.xlarge,ami-0f8a61b66d1accaee,47256bd2-ef34-4218-9e6c-eda2fd92f35a,success,,,,4.77563810599986,5,14673.732106631998,0.834529762452803,14671.406153226098,14674.566636394451,2250000,153.33850058100097
release-v1-20260909-130000,release-v1,aws-m7a-xlarge-ubuntu2404-v1,e4b54eca-4cd6-44ad-bab3-ea31e296f6a3,1,1,coherent-surface-d5-r5-p1e-3-rz2e-2--clifft-previous,clifft-previous,coherent-surface-d5-r5-p1e-3-rz2e-2,coherent-noise-surface-code,clifft-0.9.0,Clifft,0.9.0,0.9.0,clifft,throughput,false,1,1,AMD EPYC 9R14,m7a.xlarge,ami-0f8a61b66d1accaee,47256bd2-ef34-4218-9e6c-eda2fd92f35a,success,,,,3.5442853829999876,5,6.9502964363139315,0.16597336438920873,6.623401142824448,7.11626980070314,1034,150.29779644199698
release-v1-20260909-130000,release-v1,aws-m7a-xlarge-ubuntu2404-v1,e4b54eca-4cd6-44ad-bab3-ea31e296f6a3,1,1,msc-d3-inject-cultivate-p1e-3--clifft-current,clifft-current,msc-d3-inject-cultivate-p1e-3,magic-state-cultivation,clifft-0.10.0rc1,Clifft,0.10.0rc1,0.10.0,clifft,throughput,true,2048,100000,AMD EPYC 9R14,m7a.xlarge,ami-0f8a61b66d1accaee,47256bd2-ef34-4218-9e6c-eda2fd92f35a,success,,,,15.649750949999998,5,2821146.7827370577,51.362514837644994,2820861.815507812,2821198.1452518953,423500000,150.12043214299865
release-v1-20260909-130000,release-v1,aws-m7a-xlarge-ubuntu2404-v1,e4b54eca-4cd6-44ad-bab3-ea31e296f6a3,1,1,msc-d5-inject-cultivate-p1e-3--clifft-current,clifft-current,msc-d5-inject-cultivate-p1e-3,magic-state-cultivation,clifft-0.10.0rc1,Clifft,0.10.0rc1,0.10.0,clifft,throughput,false,1,20000,AMD EPYC 9R14,m7a.xlarge,ami-0f8a61b66d1accaee,47256bd2-ef34-4218-9e6c-eda2fd92f35a,success,,,,18.831043622000152,5,197445.15062881398,73.61336710985051,197273.47926428524,197569.49261812092,29680000,150.33257630000116
