execution_id,campaign_id,hardware_epoch,campaign_run_id,result_id,placement,replica,case_id,pair_id,workload_id,workload_family,implementation_id,simulator_name,simulator_version,adapter,mode,batch_enabled,batch_size_effective,shots_per_call,cpu_model,instance_type,image_id,boot_id,status,error_phase,error_type,error_message,setup_seconds,sample_count,median_attempted_shots_per_second,mad_attempted_shots_per_second,min_attempted_shots_per_second,max_attempted_shots_per_second,total_attempted_shots,total_duration_seconds
clifft-history-v1-20260825-r1,clifft-history-v1,aws-m7a-xlarge-ubuntu2404-v1,clifft-0.1.0,423b40f8-a709-42bb-b683-16b30b2be61e,1,1,msc-d3-inject-cultivate-p1e-3--clifft-0.1.0,,msc-d3-inject-cultivate-p1e-3,magic-state-cultivation,clifft-0.1.0,Clifft,0.1.0,clifft,throughput,false,1,100000,AMD EPYC 9R14,m7a.xlarge,ami-0f8a61b66d1accaee,459354a4-c002-4feb-a542-95befe0c2e78,success,,,,0.03741995299999701,3,883161.3211191765,83.95533427468035,883077.3657849018,883802.9775912272,26700000,30.225943936000093
clifft-history-v1-20260825-r1,clifft-history-v1,aws-m7a-xlarge-ubuntu2404-v1,clifft-0.1.0,423b40f8-a709-42bb-b683-16b30b2be61e,1,1,msc-d5-inject-cultivate-p1e-3--clifft-0.1.0,,msc-d5-inject-cultivate-p1e-3,magic-state-cultivation,clifft-0.1.0,Clifft,0.1.0,clifft,throughput,false,1,20000,AMD EPYC 9R14,m7a.xlarge,ami-0f8a61b66d1accaee,459354a4-c002-4feb-a542-95befe0c2e78,success,,,,0.04444184999999834,3,80974.11081114352,100.5341773890832,80873.57663375443,81087.83466072434,2460000,30.378466504000073
clifft-history-v1-20260825-r1,clifft-history-v1,aws-m7a-xlarge-ubuntu2404-v1,clifft-0.1.0,423b40f8-a709-42bb-b683-16b30b2be61e,1,1,distillation-color-code-85q-p5e-2--clifft-0.1.0,,distillation-color-code-85q-p5e-2,magic-state-distillation,clifft-0.1.0,Clifft,0.1.0,clifft,throughput,false,1,100000,AMD EPYC 9R14,m7a.xlarge,ami-0f8a61b66d1accaee,459354a4-c002-4feb-a542-95befe0c2e78,success,,,,0.03885712300001387,3,100778.58089553252,33.605561664589914,100744.97533386793,103711.98941586779,3300000,32.4399718790001
clifft-history-v1-20260825-r1,clifft-history-v1,aws-m7a-xlarge-ubuntu2404-v1,clifft-0.1.0,423b40f8-a709-42bb-b683-16b30b2be61e,1,1,surface-code-d7-r7-p1e-3--clifft-0.1.0,,surface-code-d7-r7-p1e-3,surface-code-memory,clifft-0.1.0,Clifft,0.1.0,clifft,throughput,false,1,100000,AMD EPYC 9R14,m7a.xlarge,ami-0f8a61b66d1accaee,459354a4-c002-4feb-a542-95befe0c2e78,success,,,,0.045766178999997464,3,394307.63348598353,470.1946741640568,390631.9320382962,394777.8281601476,12000000,30.51646315800008
clifft-history-v1-20260825-r1,clifft-history-v1,aws-m7a-xlarge-ubuntu2404-v1,clifft-0.1.0,423b40f8-a709-42bb-b683-16b30b2be61e,1,1,coherent-surface-d3-r1-p1e-3-rz2e-2--clifft-0.1.0,,coherent-surface-d3-r1-p1e-3-rz2e-2,coherent-noise-surface-code,clifft-0.1.0,Clifft,0.1.0,clifft,throughput,false,1,100000,AMD EPYC 9R14,m7a.xlarge,ami-0f8a61b66d1accaee,459354a4-c002-4feb-a542-95befe0c2e78,success,,,,0.036703255999981366,3,1205833.2739910637,3865.719898649957,1201967.5540924137,1214772.018221087,36400000,30.144418952999814
clifft-history-v1-20260825-r1,clifft-history-v1,aws-m7a-xlarge-ubuntu2404-v1,clifft-0.1.0,423b40f8-a709-42bb-b683-16b30b2be61e,1,1,coherent-surface-d3-r3-p1e-3-rz2e-2--clifft-0.1.0,,coherent-surface-d3-r3-p1e-3-rz2e-2,coherent-noise-surface-code,clifft-0.1.0,Clifft,0.1.0,clifft,throughput,false,1,100000,AMD EPYC 9R14,m7a.xlarge,ami-0f8a61b66d1accaee,459354a4-c002-4feb-a542-95befe0c2e78,success,,,,0.03713013700001966,3,162199.10296402505,174.98672610518406,161458.79763620158,162374.08969013023,5100000,31.47959842599994
clifft-history-v1-20260825-r1,clifft-history-v1,aws-m7a-xlarge-ubuntu2404-v1,clifft-0.1.0,423b40f8-a709-42bb-b683-16b30b2be61e,1,1,coherent-surface-d5-r1-p1e-3-rz2e-2--clifft-0.1.0,,coherent-surface-d5-r1-p1e-3-rz2e-2,coherent-noise-surface-code,clifft-0.1.0,Clifft,0.1.0,clifft,throughput,false,1,10000,AMD EPYC 9R14,m7a.xlarge,ami-0f8a61b66d1accaee,459354a4-c002-4feb-a542-95befe0c2e78,success,,,,0.03776727199999641,3,9261.89247703644,1.1765183040533884,9260.715958732386,9263.403911164842,300000,32.39039850199998
clifft-history-v1-20260825-r1,clifft-history-v1,aws-m7a-xlarge-ubuntu2404-v1,clifft-0.1.0,423b40f8-a709-42bb-b683-16b30b2be61e,1,1,coherent-surface-d5-r5-p1e-3-rz2e-2--clifft-0.1.0,,coherent-surface-d5-r5-p1e-3-rz2e-2,coherent-noise-surface-code,clifft-0.1.0,Clifft,0.1.0,clifft,throughput,false,1,1,AMD EPYC 9R14,m7a.xlarge,ami-0f8a61b66d1accaee,459354a4-c002-4feb-a542-95befe0c2e78,success,,,,0.039048616999991737,3,0.38880043349842514,0.08139229218137889,0.2821874496708091,0.470192725679804,13,34.125236475000065
clifft-history-v1-20260825-r1,clifft-history-v1,aws-m7a-xlarge-ubuntu2404-v1,clifft-0.2.0,7cdb4f0a-e0e8-4325-8d89-28d1691ed644,1,1,msc-d3-inject-cultivate-p1e-3--clifft-0.2.0,,msc-d3-inject-cultivate-p1e-3,magic-state-cultivation,clifft-0.2.0,Clifft,0.2.0,clifft,throughput,false,1,100000,AMD EPYC 9R14,m7a.xlarge,ami-0f8a61b66d1accaee,459354a4-c002-4feb-a542-95befe0c2e78,success,,,,0.03777052999998887,3,883762.4715533564,253.68359629320912,883508.7879570632,884557.1971432584,26700000,30.20558145099983
clifft-history-v1-20260825-r1,clifft-history-v1,aws-m7a-xlarge-ubuntu2404-v1,clifft-0.2.0,7cdb4f0a-e0e8-4325-8d89-28d1691ed644,1,1,msc-d5-inject-cultivate-p1e-3--clifft-0.2.0,,msc-d5-inject-cultivate-p1e-3,magic-state-cultivation,clifft-0.2.0,Clifft,0.2.0,clifft,throughput,false,1,20000,AMD EPYC 9R14,m7a.xlarge,ami-0f8a61b66d1accaee,459354a4-c002-4feb-a542-95befe0c2e78,success,,,,0.044123092000006636,3,80841.95361452988,172.07308054446185,80586.14965704591,81014.02669507434,2460000,30.4403980419998
