execution_id,campaign_id,hardware_epoch,placement,replica,comparison_id,workload_id,baseline_run_id,baseline_result_id,baseline_case_id,baseline_implementation_id,baseline_mode,baseline_batch_enabled,baseline_batch_size_effective,baseline_shots_per_call,candidate_run_id,candidate_result_id,candidate_case_id,candidate_implementation_id,candidate_mode,candidate_batch_enabled,candidate_batch_size_effective,candidate_shots_per_call,statistic,baseline_rate,candidate_rate,ratio_candidate_over_baseline,symmetric_delta_percent
clifft-history-v1-20260825-r1,clifft-history-v1,aws-m7a-xlarge-ubuntu2404-v1,1,1,release-history-vs-0.1.0,coherent-surface-d3-r1-p1e-3-rz2e-2,clifft-0.1.0,423b40f8-a709-42bb-b683-16b30b2be61e,coherent-surface-d3-r1-p1e-3-rz2e-2--clifft-0.1.0,clifft-0.1.0,throughput,false,1,100000,clifft-0.2.0,7cdb4f0a-e0e8-4325-8d89-28d1691ed644,coherent-surface-d3-r1-p1e-3-rz2e-2--clifft-0.2.0,clifft-0.2.0,throughput,false,1,100000,result-sample-median,1205833.2739910637,1241465.9828214748,1.0295502783004769,2.912002586624454
clifft-history-v1-20260825-r1,clifft-history-v1,aws-m7a-xlarge-ubuntu2404-v1,1,1,release-history-vs-0.1.0,coherent-surface-d3-r3-p1e-3-rz2e-2,clifft-0.1.0,423b40f8-a709-42bb-b683-16b30b2be61e,coherent-surface-d3-r3-p1e-3-rz2e-2--clifft-0.1.0,clifft-0.1.0,throughput,false,1,100000,clifft-0.2.0,7cdb4f0a-e0e8-4325-8d89-28d1691ed644,coherent-surface-d3-r3-p1e-3-rz2e-2--clifft-0.2.0,clifft-0.2.0,throughput,false,1,100000,result-sample-median,162199.10296402505,161617.94056202128,0.9964169814050533,0.3589449126429472
clifft-history-v1-20260825-r1,clifft-history-v1,aws-m7a-xlarge-ubuntu2404-v1,1,1,release-history-vs-0.1.0,coherent-surface-d5-r1-p1e-3-rz2e-2,clifft-0.1.0,423b40f8-a709-42bb-b683-16b30b2be61e,coherent-surface-d5-r1-p1e-3-rz2e-2--clifft-0.1.0,clifft-0.1.0,throughput,false,1,10000,clifft-0.2.0,7cdb4f0a-e0e8-4325-8d89-28d1691ed644,coherent-surface-d5-r1-p1e-3-rz2e-2--clifft-0.2.0,clifft-0.2.0,throughput,false,1,10000,result-sample-median,9261.89247703644,9277.784996879089,1.0017159041612773,0.17144332596950088
clifft-history-v1-20260825-r1,clifft-history-v1,aws-m7a-xlarge-ubuntu2404-v1,1,1,release-history-vs-0.1.0,coherent-surface-d5-r5-p1e-3-rz2e-2,clifft-0.1.0,423b40f8-a709-42bb-b683-16b30b2be61e,coherent-surface-d5-r5-p1e-3-rz2e-2--clifft-0.1.0,clifft-0.1.0,throughput,false,1,1,clifft-0.2.0,7cdb4f0a-e0e8-4325-8d89-28d1691ed644,coherent-surface-d5-r5-p1e-3-rz2e-2--clifft-0.2.0,clifft-0.2.0,throughput,false,1,1,result-sample-median,0.38880043349842514,0.391285788583127,1.006392367061782,0.637200097719981
clifft-history-v1-20260825-r1,clifft-history-v1,aws-m7a-xlarge-ubuntu2404-v1,1,1,release-history-vs-0.1.0,distillation-color-code-85q-p5e-2,clifft-0.1.0,423b40f8-a709-42bb-b683-16b30b2be61e,distillation-color-code-85q-p5e-2--clifft-0.1.0,clifft-0.1.0,throughput,false,1,100000,clifft-0.2.0,7cdb4f0a-e0e8-4325-8d89-28d1691ed644,distillation-color-code-85q-p5e-2--clifft-0.2.0,clifft-0.2.0,throughput,false,1,100000,result-sample-median,100778.58089553252,103169.42552840343,1.0237237378381947,2.3445628861908934
clifft-history-v1-20260825-r1,clifft-history-v1,aws-m7a-xlarge-ubuntu2404-v1,1,1,release-history-vs-0.1.0,msc-d3-inject-cultivate-p1e-3,clifft-0.1.0,423b40f8-a709-42bb-b683-16b30b2be61e,msc-d3-inject-cultivate-p1e-3--clifft-0.1.0,clifft-0.1.0,throughput,false,1,100000,clifft-0.2.0,7cdb4f0a-e0e8-4325-8d89-28d1691ed644,msc-d3-inject-cultivate-p1e-3--clifft-0.2.0,clifft-0.2.0,throughput,false,1,100000,result-sample-median,883161.3211191765,883762.4715533564,1.0006806802107435,0.06804486267861834
clifft-history-v1-20260825-r1,clifft-history-v1,aws-m7a-xlarge-ubuntu2404-v1,1,1,release-history-vs-0.1.0,msc-d5-inject-cultivate-p1e-3,clifft-0.1.0,423b40f8-a709-42bb-b683-16b30b2be61e,msc-d5-inject-cultivate-p1e-3--clifft-0.1.0,clifft-0.1.0,throughput,false,1,20000,clifft-0.2.0,7cdb4f0a-e0e8-4325-8d89-28d1691ed644,msc-d5-inject-cultivate-p1e-3--clifft-0.2.0,clifft-0.2.0,throughput,false,1,20000,result-sample-median,80974.11081114352,80841.95361452988,0.9983679080228263,0.16334249270330425
clifft-history-v1-20260825-r1,clifft-history-v1,aws-m7a-xlarge-ubuntu2404-v1,1,1,release-history-vs-0.1.0,surface-code-d7-r7-p1e-3,clifft-0.1.0,423b40f8-a709-42bb-b683-16b30b2be61e,surface-code-d7-r7-p1e-3--clifft-0.1.0,clifft-0.1.0,throughput,false,1,100000,clifft-0.2.0,7cdb4f0a-e0e8-4325-8d89-28d1691ed644,surface-code-d7-r7-p1e-3--clifft-0.2.0,clifft-0.2.0,throughput,false,1,100000,result-sample-median,394307.63348598353,396450.6317678779,1.0054348384355347,0.5420109725205059
clifft-history-v1-20260825-r1,clifft-history-v1,aws-m7a-xlarge-ubuntu2404-v1,1,1,release-history-vs-0.1.0,coherent-surface-d3-r1-p1e-3-rz2e-2,clifft-0.1.0,423b40f8-a709-42bb-b683-16b30b2be61e,coherent-surface-d3-r1-p1e-3-rz2e-2--clifft-0.1.0,clifft-0.1.0,throughput,false,1,100000,clifft-0.3.0,d824ce96-d2c0-42ae-b942-4ca8e2d665ee,coherent-surface-d3-r1-p1e-3-rz2e-2--clifft-0.3.0,clifft-0.3.0,throughput,false,1,100000,result-sample-median,1205833.2739910637,1106913.7255101823,0.9179658161584165,8.554290504081408
clifft-history-v1-20260825-r1,clifft-history-v1,aws-m7a-xlarge-ubuntu2404-v1,1,1,release-history-vs-0.1.0,coherent-surface-d3-r3-p1e-3-rz2e-2,clifft-0.1.0,423b40f8-a709-42bb-b683-16b30b2be61e,coherent-surface-d3-r3-p1e-3-rz2e-2--clifft-0.1.0,clifft-0.1.0,throughput,false,1,100000,clifft-0.3.0,d824ce96-d2c0-42ae-b942-4ca8e2d665ee,coherent-surface-d3-r3-p1e-3-rz2e-2--clifft-0.3.0,clifft-0.3.0,throughput,false,1,100000,result-sample-median,162199.10296402505,160002.29153398838,0.9864560815078989,1.3636262707424236
