execution_id,campaign_id,hardware_epoch,placement,replica,comparison_id,workload_id,baseline_run_id,baseline_result_id,baseline_case_id,baseline_implementation_id,baseline_mode,baseline_batch_enabled,baseline_batch_size_effective,baseline_shots_per_call,candidate_run_id,candidate_result_id,candidate_case_id,candidate_implementation_id,candidate_mode,candidate_batch_enabled,candidate_batch_size_effective,candidate_shots_per_call,statistic,baseline_rate,candidate_rate,ratio_candidate_over_baseline,symmetric_delta_percent
current-tools-v1-20260824-r1,current-tools-v1,aws-m7a-xlarge-ubuntu2404-v1,1,1,clifft-0.9-vs-0.8,coherent-surface-d3-r1-p1e-3-rz2e-2,clifft-0.8.0,87f86b53-a447-479c-8572-adf64b362431,coherent-surface-d3-r1-p1e-3-rz2e-2--clifft-0.8.0,clifft-0.8.0,throughput,false,1,100000,clifft-0.9.0,6420ed1c-51bd-48bc-aeba-9677e05cfef0,coherent-surface-d3-r1-p1e-3-rz2e-2--clifft-0.9.0,clifft-0.9.0,throughput,false,1,100000,result-sample-median,1370948.6186620188,1882957.8206412587,1.3734707450078887,31.470431712158923
current-tools-v1-20260824-r1,current-tools-v1,aws-m7a-xlarge-ubuntu2404-v1,1,1,clifft-0.9-vs-0.8,coherent-surface-d3-r3-p1e-3-rz2e-2,clifft-0.8.0,87f86b53-a447-479c-8572-adf64b362431,coherent-surface-d3-r3-p1e-3-rz2e-2--clifft-0.8.0,clifft-0.8.0,throughput,false,1,100000,clifft-0.9.0,6420ed1c-51bd-48bc-aeba-9677e05cfef0,coherent-surface-d3-r3-p1e-3-rz2e-2--clifft-0.9.0,clifft-0.9.0,throughput,false,1,100000,result-sample-median,323828.34135986946,462445.79958568176,1.4280584511031638,35.25932012951992
current-tools-v1-20260824-r1,current-tools-v1,aws-m7a-xlarge-ubuntu2404-v1,1,1,clifft-0.9-vs-0.8,coherent-surface-d5-r1-p1e-3-rz2e-2,clifft-0.8.0,87f86b53-a447-479c-8572-adf64b362431,coherent-surface-d5-r1-p1e-3-rz2e-2--clifft-0.8.0,clifft-0.8.0,throughput,false,1,10000,clifft-0.9.0,6420ed1c-51bd-48bc-aeba-9677e05cfef0,coherent-surface-d5-r1-p1e-3-rz2e-2--clifft-0.9.0,clifft-0.9.0,throughput,false,1,10000,result-sample-median,14515.499625774864,14662.899110987573,1.0101546270547226,1.010332928427614
current-tools-v1-20260824-r1,current-tools-v1,aws-m7a-xlarge-ubuntu2404-v1,1,1,clifft-0.9-vs-0.8,coherent-surface-d5-r5-p1e-3-rz2e-2,clifft-0.8.0,87f86b53-a447-479c-8572-adf64b362431,coherent-surface-d5-r5-p1e-3-rz2e-2--clifft-0.8.0,clifft-0.8.0,throughput,false,1,1,clifft-0.9.0,6420ed1c-51bd-48bc-aeba-9677e05cfef0,coherent-surface-d5-r5-p1e-3-rz2e-2--clifft-0.9.0,clifft-0.9.0,throughput,false,1,1,result-sample-median,6.402760891091676,6.978629584084941,1.089940683837575,8.607008278572254
current-tools-v1-20260824-r1,current-tools-v1,aws-m7a-xlarge-ubuntu2404-v1,1,1,clifft-0.9-vs-0.8,distillation-color-code-85q-p5e-2,clifft-0.8.0,87f86b53-a447-479c-8572-adf64b362431,distillation-color-code-85q-p5e-2--clifft-0.8.0,clifft-0.8.0,throughput,false,1,100000,clifft-0.9.0,6420ed1c-51bd-48bc-aeba-9677e05cfef0,distillation-color-code-85q-p5e-2--clifft-0.9.0,clifft-0.9.0,throughput,false,1,100000,result-sample-median,544799.0067241037,577581.2765384133,1.0601731453429597,5.841561955992059
current-tools-v1-20260824-r1,current-tools-v1,aws-m7a-xlarge-ubuntu2404-v1,1,1,clifft-0.9-vs-0.8,msc-d3-inject-cultivate-p1e-3,clifft-0.8.0,87f86b53-a447-479c-8572-adf64b362431,msc-d3-inject-cultivate-p1e-3--clifft-0.8.0,clifft-0.8.0,throughput,false,1,100000,clifft-0.9.0,6420ed1c-51bd-48bc-aeba-9677e05cfef0,msc-d3-inject-cultivate-p1e-3--clifft-0.9.0,clifft-0.9.0,throughput,false,1,100000,result-sample-median,1109566.284224143,1190405.3537967717,1.072856458169288,7.029570994378809
current-tools-v1-20260824-r1,current-tools-v1,aws-m7a-xlarge-ubuntu2404-v1,1,1,clifft-0.9-vs-0.8,msc-d5-inject-cultivate-p1e-3,clifft-0.8.0,87f86b53-a447-479c-8572-adf64b362431,msc-d5-inject-cultivate-p1e-3--clifft-0.8.0,clifft-0.8.0,throughput,false,1,20000,clifft-0.9.0,6420ed1c-51bd-48bc-aeba-9677e05cfef0,msc-d5-inject-cultivate-p1e-3--clifft-0.9.0,clifft-0.9.0,throughput,false,1,20000,result-sample-median,136725.65780161662,168146.46859625395,1.2298091762720034,20.612452286721606
current-tools-v1-20260824-r1,current-tools-v1,aws-m7a-xlarge-ubuntu2404-v1,1,1,clifft-0.9-vs-0.8,surface-code-d7-r7-p1e-3,clifft-0.8.0,87f86b53-a447-479c-8572-adf64b362431,surface-code-d7-r7-p1e-3--clifft-0.8.0,clifft-0.8.0,throughput,false,1,100000,clifft-0.9.0,6420ed1c-51bd-48bc-aeba-9677e05cfef0,surface-code-d7-r7-p1e-3--clifft-0.9.0,clifft-0.9.0,throughput,false,1,100000,result-sample-median,446584.90422025824,484979.4937663336,1.0859737738182456,8.243034969790248
current-tools-v1-20260824-r1,current-tools-v1,aws-m7a-xlarge-ubuntu2404-v1,2,1,clifft-0.9-vs-0.8,coherent-surface-d3-r1-p1e-3-rz2e-2,clifft-0.8.0,422f6ad8-61f5-464d-9444-249b3b7d1869,coherent-surface-d3-r1-p1e-3-rz2e-2--clifft-0.8.0,clifft-0.8.0,throughput,false,1,100000,clifft-0.9.0,532a90a9-0da3-4104-b7ba-16c2563ca346,coherent-surface-d3-r1-p1e-3-rz2e-2--clifft-0.9.0,clifft-0.9.0,throughput,false,1,100000,result-sample-median,1381094.0858488758,1878088.4924253079,1.359855575133362,30.498101572425725
current-tools-v1-20260824-r1,current-tools-v1,aws-m7a-xlarge-ubuntu2404-v1,2,1,clifft-0.9-vs-0.8,coherent-surface-d3-r3-p1e-3-rz2e-2,clifft-0.8.0,422f6ad8-61f5-464d-9444-249b3b7d1869,coherent-surface-d3-r3-p1e-3-rz2e-2--clifft-0.8.0,clifft-0.8.0,throughput,false,1,100000,clifft-0.9.0,532a90a9-0da3-4104-b7ba-16c2563ca346,coherent-surface-d3-r3-p1e-3-rz2e-2--clifft-0.9.0,clifft-0.9.0,throughput,false,1,100000,result-sample-median,326905.5940271406,418883.03987082094,1.2813578217203714,24.66582129656448
