source_result,run_id,workflow_run_id,run_attempt,hardware_key,machine,cpu_model,physical_cores,logical_cpus,memory_bytes,image_os,image_version,pair_id,workload_id,case_a,case_b,repetition,sequence_a,sequence_b,rate_a,rate_b,ratio_b_over_a,absolute_delta_percent
runner-aa-31393394827-1-1-raw.json,44dca57a-b358-4be2-9d1c-5836e08a7262,31393394827,1,cb3f54020082,x86_64,AMD EPYC 9V74 80-Core Processor,2,4,16766423040,ubuntu24,20260720.247.2,coherent-d5-r5-clifft-aa,coherent-surface-d5-r5-p1e-3-rz2e-2,coherent-d5-r5-aa-a,coherent-d5-r5-aa-b,0,12,13,0.38662613709799193,0.3855614003830136,0.9972460819049375,0.27577153561727874
runner-aa-31393394827-1-1-raw.json,44dca57a-b358-4be2-9d1c-5836e08a7262,31393394827,1,cb3f54020082,x86_64,AMD EPYC 9V74 80-Core Processor,2,4,16766423040,ubuntu24,20260720.247.2,coherent-d5-r5-clifft-aa,coherent-surface-d5-r5-p1e-3-rz2e-2,coherent-d5-r5-aa-a,coherent-d5-r5-aa-b,1,15,14,0.4096914338807641,0.40760917902349225,0.9949175045288404,0.5095444257340349
runner-aa-31393394827-1-1-raw.json,44dca57a-b358-4be2-9d1c-5836e08a7262,31393394827,1,cb3f54020082,x86_64,AMD EPYC 9V74 80-Core Processor,2,4,16766423040,ubuntu24,20260720.247.2,coherent-d5-r5-clifft-aa,coherent-surface-d5-r5-p1e-3-rz2e-2,coherent-d5-r5-aa-a,coherent-d5-r5-aa-b,2,16,17,0.3458882018391241,0.34512255704695977,0.9977864385425889,0.22160140991106153
runner-aa-31393394827-1-1-raw.json,44dca57a-b358-4be2-9d1c-5836e08a7262,31393394827,1,cb3f54020082,x86_64,AMD EPYC 9V74 80-Core Processor,2,4,16766423040,ubuntu24,20260720.247.2,coherent-d5-r5-clifft-aa,coherent-surface-d5-r5-p1e-3-rz2e-2,coherent-d5-r5-aa-a,coherent-d5-r5-aa-b,3,19,18,0.4148708259903083,0.41124076827061584,0.9912501494627216,0.8788298687273713
runner-aa-31393394827-1-1-raw.json,44dca57a-b358-4be2-9d1c-5836e08a7262,31393394827,1,cb3f54020082,x86_64,AMD EPYC 9V74 80-Core Processor,2,4,16766423040,ubuntu24,20260720.247.2,coherent-d5-r5-clifft-aa,coherent-surface-d5-r5-p1e-3-rz2e-2,coherent-d5-r5-aa-a,coherent-d5-r5-aa-b,4,20,21,0.3118515283889593,0.29865947614996957,0.9576976508432057,4.321642735646559
runner-aa-31393394827-1-1-raw.json,44dca57a-b358-4be2-9d1c-5836e08a7262,31393394827,1,cb3f54020082,x86_64,AMD EPYC 9V74 80-Core Processor,2,4,16766423040,ubuntu24,20260720.247.2,coherent-d5-r5-clifft-aa,coherent-surface-d5-r5-p1e-3-rz2e-2,coherent-d5-r5-aa-a,coherent-d5-r5-aa-b,5,23,22,0.36598607409305467,0.36296985480065075,0.9917586501074437,0.8275450333414432
runner-aa-31393394827-1-1-raw.json,44dca57a-b358-4be2-9d1c-5836e08a7262,31393394827,1,cb3f54020082,x86_64,AMD EPYC 9V74 80-Core Processor,2,4,16766423040,ubuntu24,20260720.247.2,msc-d3-clifft-aa,msc-d3-inject-cultivate-p1e-3,msc-d3-aa-a,msc-d3-aa-b,0,0,1,793625.8133335363,789755.3265867297,0.9951230331955194,0.48888882774003994
runner-aa-31393394827-1-1-raw.json,44dca57a-b358-4be2-9d1c-5836e08a7262,31393394827,1,cb3f54020082,x86_64,AMD EPYC 9V74 80-Core Processor,2,4,16766423040,ubuntu24,20260720.247.2,msc-d3-clifft-aa,msc-d3-inject-cultivate-p1e-3,msc-d3-aa-a,msc-d3-aa-b,1,3,2,790603.804951949,789274.4126395889,0.9983185101007186,0.16829047929867894
runner-aa-31393394827-1-1-raw.json,44dca57a-b358-4be2-9d1c-5836e08a7262,31393394827,1,cb3f54020082,x86_64,AMD EPYC 9V74 80-Core Processor,2,4,16766423040,ubuntu24,20260720.247.2,msc-d3-clifft-aa,msc-d3-inject-cultivate-p1e-3,msc-d3-aa-a,msc-d3-aa-b,2,4,5,791880.3300649943,784856.3154151661,0.9911299543843302,0.890955971621905
runner-aa-31393394827-1-1-raw.json,44dca57a-b358-4be2-9d1c-5836e08a7262,31393394827,1,cb3f54020082,x86_64,AMD EPYC 9V74 80-Core Processor,2,4,16766423040,ubuntu24,20260720.247.2,msc-d3-clifft-aa,msc-d3-inject-cultivate-p1e-3,msc-d3-aa-a,msc-d3-aa-b,3,7,6,797557.5128963647,796044.6429549698,0.9981031211957356,0.18986795867964762
runner-aa-31393394827-1-1-raw.json,44dca57a-b358-4be2-9d1c-5836e08a7262,31393394827,1,cb3f54020082,x86_64,AMD EPYC 9V74 80-Core Processor,2,4,16766423040,ubuntu24,20260720.247.2,msc-d3-clifft-aa,msc-d3-inject-cultivate-p1e-3,msc-d3-aa-a,msc-d3-aa-b,4,8,9,793027.6383610117,788167.8449420271,0.993871848616741,0.6146986214294972
runner-aa-31393394827-1-1-raw.json,44dca57a-b358-4be2-9d1c-5836e08a7262,31393394827,1,cb3f54020082,x86_64,AMD EPYC 9V74 80-Core Processor,2,4,16766423040,ubuntu24,20260720.247.2,msc-d3-clifft-aa,msc-d3-inject-cultivate-p1e-3,msc-d3-aa-a,msc-d3-aa-b,5,11,10,788883.4162533629,792090.6578914407,1.0040655457726693,0.40572982068825714
